#sallacc	qacc	evalue	length	pident	qcovs	slen	seq.id	species 
STY23764.1	AVR58_04690	2.74e-19	192	32.292	63	617	STY23764.1 patatin-like phospholipase 	L. steigerwaltii
EHL31377.1	AVR58_04690	4.54e-18	189	32.275	63	636	EHL31377.1 hypothetical protein LDG_6605 	L. drancourtii LLAP12
CEE15026.1	AVR58_04690	1.63e-17	174	30.460	58	582	CEE15026.1 NTE family protein RssA 	L. massiliensis
QDP71886.1	AVR58_04690	1.79e-17	260	25.385	86	630	QDP71886.1 cyclic nucleotide-binding domain-containing protein 	L. israelensis
KTD36747.1	AVR58_04690	5.18e-16	167	31.138	55	506	KTD36747.1 patatin-like phospholipase 	L. nautarum
CEG60691.1	AVR58_04690	1.52e-14	167	31.138	55	592	CEG60691.1 putative Lysophospholipase 	L. micdadei
SUP02011.1	AVR58_04690	8.71e-14	272	26.838	89	584	SUP02011.1 NTE family protein rssA 	L. maceachernii
CEG61671.1	AVR58_04690	1.66e-12	165	32.121	54	607	CEG61671.1 Lysophospholipase 	L. micdadei
CEE13302.1	AVR58_04690	4.16e-11	167	34.132	54	602	CEE13302.1 NTE family protein RssA 	L. massiliensis
SUP02777.1	AVR58_04690	0.001	97	29.897	31	735	SUP02777.1 Patatin 	L. maceachernii
AOU48586.1	AVR58_04745	0.0	413	100.000	100	413	AOU48586.1 type IV secretion protein Dot 	L. pneumophila
KGP64194.1	AVR58_04745	0.0	412	86.408	99	413	KGP64194.1 type IV secretion protein Dot 	L. norrlandica
KTD57897.1	AVR58_04745	0.0	405	67.407	98	408	KTD57897.1 substrate of the Dot/Icm secretion system 	L. shakespearei DSM 23087
SNV07536.1	AVR58_04745	0.0	406	63.793	98	429	SNV07536.1 Dot/Icm secretion system substrate 	L. waltersii
STX63194.1	AVR58_04745	2.28e-168	425	58.353	100	422	STX63194.1 Dot/Icm secretion system substrate 	L. moravica
STY18361.1	AVR58_04745	2.65e-164	407	58.477	96	422	STY18361.1 Dot/Icm secretion system substrate 	L. quateirensis
MBL7479787.1	AVR58_04745	6.35e-160	405	57.531	96	422	MBL7479787.1 type IV secretion protein Dot 	L. sp. 27fs60
STY33116.1	AVR58_04745	3.65e-154	418	54.545	99	425	STY33116.1 Dot/Icm secretion system substrate 	L. worsleiensis
MCL9682483.1	AVR58_04745	1.01e-153	416	52.644	99	429	MCL9682483.1 type IV secretion protein Dot 	L. sp. HCPI-6
BCA96113.1	AVR58_04745	2.31e-143	412	51.942	99	426	BCA96113.1 hypothetical protein TUM19329_24740 	L. antarctica
CEG57303.1	AVR58_04745	9.54e-141	394	50.000	95	426	CEG57303.1 substrate of the Dot/Icm secretion system 	L. fallonii LLAP-10
STY23566.1	AVR58_04745	2.98e-139	392	48.724	95	427	STY23566.1 Dot/Icm secretion system substrate 	L. steigerwaltii
KTD67171.1	AVR58_04745	2.42e-138	392	48.724	95	464	KTD67171.1 substrate of the Dot/Icm secretion system 	L. steelei
CBJ11281.1	AVR58_04745	2.78e-136	394	48.731	95	423	CBJ11281.1 hypothetical protein LLO_0934 	L. longbeachae NSW150
STX75609.1	AVR58_04745	3.84e-130	392	45.408	95	428	STX75609.1 Dot/Icm secretion system substrate 	L. parisiensis
AWN73798.1	AVR58_04745	4.05e-130	392	45.663	95	426	AWN73798.1 hypothetical protein DLD14_08065 	L. anisa
AUH72185.1	AVR58_04745	8.61e-129	394	48.731	95	423	AUH72185.1 hypothetical protein CAB17_09000 	L. sainthelensi
STX43110.1	AVR58_04745	1.12e-128	394	46.701	95	423	STX43110.1 Dot/Icm secretion system substrate 	L. gratiana
STX35944.1	AVR58_04745	1.47e-128	394	48.731	95	423	STX35944.1 Dot/Icm secretion system substrate 	L. cincinnatiensis
STY28796.1	AVR58_04745	6.44e-128	395	46.835	96	425	STY28796.1 Dot/Icm secretion system substrate 	L. wadsworthii
STO33435.1	AVR58_04745	3.18e-127	392	44.643	95	429	STO33435.1 Uncharacterised protein 	L. bozemanae
KTD55658.1	AVR58_04745	3.87e-127	394	46.447	95	423	KTD55658.1 substrate of the Dot/Icm secretion system 	L. santicrucis
RUR26587.1	AVR58_04745	3.58e-120	393	46.565	95	429	RUR26587.1 hypothetical protein ELY20_01325 	L. qingyii
QDP72399.1	AVR58_04745	7.45e-95	420	40.476	99	413	QDP72399.1 type IV secretion protein Dot 	L. israelensis
USQ14909.1	AVR58_04745	7.21e-80	432	36.343	99	421	USQ14909.1 hypothetical protein J2N86_06315 	L. lytica
KTD39254.1	AVR58_04745	1.19e-57	412	32.282	97	418	KTD39254.1 substrate of the Dot/Icm secretion system 	L. nautarum
SNV49219.1	AVR58_04745	5.81e-57	424	31.604	91	481	SNV49219.1 Dot/Icm secretion system substrate 	L. lansingensis
ASQ45530.1	AVR58_04745	2.00e-55	445	29.438	96	475	ASQ45530.1 hypothetical protein clem_04860 	L. clemsonensis
SFL70435.1	AVR58_04745	2.94e-55	441	31.066	96	474	SFL70435.1 hypothetical protein SAMN02746073_1504 	L. jamestowniensis DSM 19215
VEG89722.1	AVR58_04745	1.96e-53	347	31.124	82	441	VEG89722.1 Dot/Icm secretion system substrate 	L. spiritensis
CEE14450.1	AVR58_04745	1.12e-51	409	28.851	96	406	CEE14450.1 hypothetical protein BN1094_03024 	L. massiliensis
STX51160.1	AVR58_04745	6.93e-51	351	31.054	83	441	STX51160.1 Dot/Icm secretion system substrate 	L. busanensis
STX42985.1	AVR58_04745	4.34e-50	399	28.822	94	400	STX42985.1 Dot/Icm secretion system substrate 	L. donaldsonii
STX28644.1	AVR58_04745	4.42e-50	386	29.275	90	430	STX28644.1 Dot/Icm secretion system substrate 	L. beliardensis
STX38088.1	AVR58_04745	7.61e-50	399	28.822	94	403	STX38088.1 Dot/Icm secretion system substrate 	L. feeleii
KTC84053.1	AVR58_04745	8.01e-50	451	29.490	96	488	KTC84053.1 substrate of the Dot/Icm secretion system 	L. brunensis
VEH12217.1	AVR58_04745	6.14e-49	452	29.646	97	478	VEH12217.1 Dot/Icm secretion system substrate 	L. jordanis
CEG60554.1	AVR58_04745	1.58e-48	415	28.434	97	412	CEG60554.1 putative Dot/Icm T4SS effector 	L. micdadei
CEK11114.1	AVR58_04745	6.28e-48	445	26.966	96	480	CEK11114.1 protein of unknown function 	L. hackeliae
KTC94134.1	AVR58_04745	2.18e-43	359	27.019	84	471	KTC94134.1 substrate of the Dot/Icm secretion system 	L. erythra
WED43911.1	AVR58_04745	6.13e-42	264	32.576	62	520	WED43911.1 hypothetical protein PXX05_03760 	L. cardiaca
STY26608.1	AVR58_04745	1.94e-37	349	27.507	81	470	STY26608.1 Dot/Icm secretion system substrate 	L. taurinensis
KTD45313.1	AVR58_04745	1.74e-32	359	26.741	83	531	KTD45313.1 substrate of the Dot/Icm secretion system 	L. quinlivanii
STX32016.1	AVR58_04745	1.87e-27	343	29.446	81	521	STX32016.1 Dot/Icm secretion system substrate 	L. birminghamensis
QBS11377.1	AVR58_04745	9.59e-19	364	25.549	80	475	QBS11377.1 hypothetical protein E4T54_00715 	L. geestiana
AOU48589.1	AVR58_04765	1.90e-137	183	100.000	100	183	AOU48589.1 hypothetical protein A9E85_04785 	L. pneumophila
MBL7478798.1	AVR58_04765	1.69e-79	178	64.607	96	180	MBL7478798.1 hypothetical protein IZU94_02315 	L. sp. 27fs60
STY17812.1	AVR58_04765	2.59e-74	179	60.894	96	189	STY17812.1 Uncharacterised protein 	L. quateirensis
AOU48590.1	AVR58_04770	0.0	564	100.000	100	564	AOU48590.1 hypothetical protein A9E85_04790 	L. pneumophila
MBL7479780.1	AVR58_04770	1.14e-113	576	36.111	100	572	MBL7479780.1 hypothetical protein IZU94_07385 	L. sp. 27fs60
STY18354.1	AVR58_04770	1.74e-113	576	35.764	100	572	STY18354.1 Uncharacterised protein 	L. quateirensis
STX63186.1	AVR58_04770	1.58e-103	572	33.916	99	578	STX63186.1 Uncharacterised protein 	L. moravica
MBL7479411.1	AVR58_04770	2.27e-96	558	33.513	97	555	MBL7479411.1 hypothetical protein IZU94_05470 	L. sp. 27fs60
STY33122.1	AVR58_04770	1.05e-79	592	30.068	98	605	STY33122.1 Uncharacterised protein 	L. worsleiensis
AOU48591.1	AVR58_04775	0.0	246	100.000	100	246	AOU48591.1 hypothetical protein A9E85_04795 	L. pneumophila
AWN75625.1	AVR58_04775	1.04e-67	193	53.886	78	223	AWN75625.1 hypothetical protein DLD14_18260 	L. anisa
STY28818.1	AVR58_04775	7.97e-66	187	51.337	76	224	STY28818.1 Uncharacterised protein 	L. wadsworthii
KTD70370.1	AVR58_04775	8.69e-66	187	51.337	76	224	KTD70370.1 hypothetical protein Lste_0621 	L. steelei
STX77742.1	AVR58_04775	2.97e-65	217	50.230	87	224	STX77742.1 Uncharacterised protein 	L. parisiensis
RUR18338.1	AVR58_04775	1.20e-63	178	56.742	72	226	RUR18338.1 hypothetical protein ELY20_16605 	L. qingyii
CEG61948.1	AVR58_04775	6.59e-61	208	48.558	82	229	CEG61948.1 conserved protein of unknown function 	L. micdadei
CEG56362.1	AVR58_04775	4.00e-60	194	50.515	78	245	CEG56362.1 conserved protein of unknown function 	L. fallonii LLAP-10
KGP64097.1	AVR58_04775	5.25e-60	205	50.732	83	222	KGP64097.1 hypothetical protein EP47_08095 	L. norrlandica
KTD69209.1	AVR58_04775	6.74e-60	177	51.412	72	228	KTD69209.1 hypothetical protein Lste_2367 	L. steelei
CEE13329.1	AVR58_04775	3.60e-59	178	51.124	72	220	CEE13329.1 hypothetical protein BN1094_01875 	L. massiliensis
SNV49971.1	AVR58_04775	6.62e-59	207	49.758	83	226	SNV49971.1 Uncharacterised protein 	L. lansingensis
USQ15315.1	AVR58_04775	1.20e-56	177	50.282	72	225	USQ15315.1 hypothetical protein J2N86_15245 (plasmid) 	L. lytica
KTD39727.1	AVR58_04775	1.49e-53	178	47.753	72	241	KTD39727.1 hypothetical protein Loak_0909 	L. oakridgensis
STX28013.1	AVR58_04775	1.63e-53	177	48.023	72	253	STX28013.1 Uncharacterised protein 	L. beliardensis
KTD63110.1	AVR58_04775	1.74e-53	177	48.023	72	233	KTD63110.1 hypothetical protein Lsha_0796 	L. shakespearei DSM 23087
STX93351.1	AVR58_04775	7.77e-52	170	50.588	69	229	STX93351.1 Uncharacterised protein 	L. londiniensis
RUR08632.1	AVR58_04775	6.40e-50	199	44.724	77	233	RUR08632.1 hypothetical protein ELY14_10990 	L. septentrionalis
KTD38570.1	AVR58_04775	7.33e-50	177	48.023	71	228	KTD38570.1 hypothetical protein Lnau_0558 	L. nautarum
STX50500.1	AVR58_04775	2.89e-49	177	48.023	72	218	STX50500.1 Uncharacterised protein 	L. busanensis
STX42869.1	AVR58_04775	3.05e-49	194	44.330	78	194	STX42869.1 Uncharacterised protein 	L. donaldsonii
KTD62638.1	AVR58_04775	7.84e-48	207	42.995	82	221	KTD62638.1 hypothetical protein Lsan_1775 	L. santicrucis
STX38160.1	AVR58_04775	9.76e-48	194	43.299	78	194	STX38160.1 Uncharacterised protein 	L. feeleii
STX36636.1	AVR58_04775	4.70e-46	179	44.693	71	221	STX36636.1 Uncharacterised protein 	L. cincinnatiensis
CBJ13725.1	AVR58_04775	5.17e-46	179	44.134	71	222	CBJ13725.1 hypothetical protein LLO_3265 	L. longbeachae NSW150
AUH71164.1	AVR58_04775	1.46e-44	179	43.017	71	221	AUH71164.1 hypothetical protein CAB17_03125 	L. sainthelensi
STX46378.1	AVR58_04775	2.57e-40	176	42.045	70	221	STX46378.1 Uncharacterised protein 	L. gratiana
QDP71671.1	AVR58_04775	6.26e-39	176	43.182	70	223	QDP71671.1 hypothetical protein FOG18_03330 	L. israelensis
STO35333.1	AVR58_04775	9.19e-35	107	53.271	43	126	STO35333.1 Uncharacterised protein 	L. bozemanae
EHL32231.1	AVR58_04775	9.23e-30	181	37.017	71	228	EHL32231.1 hypothetical protein LDG_5603 	L. drancourtii LLAP12
AUH72612.1	AVR58_04775	6.55e-29	186	38.710	69	243	AUH72612.1 hypothetical protein CAB17_11520 	L. sainthelensi
STX72246.1	AVR58_04775	2.72e-25	89	53.933	36	145	STX72246.1 Uncharacterised protein 	L. parisiensis
STO35332.1	AVR58_04775	1.58e-13	95	45.263	38	100	STO35332.1 Uncharacterised protein 	L. bozemanae
AOU48623.1	AVR58_04940	3.87e-141	195	100.000	100	195	AOU48623.1 hypothetical protein A9E85_04960 	L. pneumophila
ASQ46264.1	AVR58_04940	3.87e-141	195	100.000	100	195	ASQ46264.1 hypothetical protein clem_08560 	L. clemsonensis
STX43256.1	AVR58_04940	3.87e-141	195	100.000	100	195	STX43256.1 Uncharacterised protein 	L. gratiana
KGP62289.1	AVR58_04940	2.69e-137	195	96.923	100	195	KGP62289.1 hypothetical protein EP47_02625 	L. norrlandica
STX75695.1	AVR58_04940	1.39e-136	195	95.897	100	195	STX75695.1 Uncharacterised protein 	L. parisiensis
CEE12432.1	AVR58_04940	2.85e-119	195	87.692	100	194	CEE12432.1 hypothetical protein BN1094_00968 	L. massiliensis
KTD62859.1	AVR58_04940	1.37e-95	194	69.588	99	194	KTD62859.1 hypothetical protein Lsan_1519 	L. santicrucis
KTC81689.1	AVR58_04940	2.51e-95	194	69.588	99	194	KTC81689.1 hypothetical protein Lbru_2209 	L. brunensis
AWN73423.1	AVR58_04940	2.83e-95	194	65.979	99	194	AWN73423.1 hypothetical protein DLD14_05965 	L. anisa
SFL95031.1	AVR58_04940	7.66e-95	194	69.072	99	194	SFL95031.1 hypothetical protein SAMN02746073_2726 	L. jamestowniensis DSM 19215
VEG91230.1	AVR58_04940	7.66e-95	194	69.072	99	194	VEG91230.1 Uncharacterised protein 	L. spiritensis
STX34118.1	AVR58_04940	1.72e-94	194	65.979	99	194	STX34118.1 Uncharacterised protein 	L. cincinnatiensis
KTC94219.1	AVR58_04940	2.26e-93	194	68.557	99	194	KTC94219.1 hypothetical protein Lery_2386 	L. erythra
SNV07241.1	AVR58_04940	6.09e-91	194	67.526	99	194	SNV07241.1 Uncharacterised protein 	L. waltersii
SUP04626.1	AVR58_04940	2.66e-89	190	67.368	97	193	SUP04626.1 Uncharacterised protein 	L. maceachernii
MBL7479746.1	AVR58_04940	1.27e-87	194	66.495	99	194	MBL7479746.1 hypothetical protein IZU94_07205 	L. sp. 27fs60
CEG60090.1	AVR58_04940	1.48e-87	194	67.010	99	194	CEG60090.1 conserved protein of unknown function 	L. micdadei
AUH72658.1	AVR58_04940	2.09e-86	190	67.368	97	194	AUH72658.1 hypothetical protein CAB17_11805 	L. sainthelensi
STX61726.1	AVR58_04940	6.98e-86	194	66.495	99	194	STX61726.1 Uncharacterised protein 	L. moravica
VEH13611.1	AVR58_04940	7.30e-86	194	64.948	99	194	VEH13611.1 Uncharacterised protein 	L. jordanis
STX28444.1	AVR58_04940	9.73e-84	194	65.464	99	194	STX28444.1 Uncharacterised protein 	L. beliardensis
KTD63251.1	AVR58_04940	6.02e-82	190	64.737	97	194	KTD63251.1 hypothetical protein Lsan_1369 	L. santicrucis
KTC66353.1	AVR58_04940	1.67e-81	194	64.433	99	195	KTC66353.1 hypothetical protein Lade_1011 	L. adelaidensis
QDP72178.1	AVR58_04940	7.14e-77	194	61.856	99	195	QDP72178.1 hypothetical protein FOG18_06175 	L. israelensis
STX93851.1	AVR58_04940	2.00e-76	194	62.371	99	195	STX93851.1 Uncharacterised protein 	L. londiniensis
VEG92565.1	AVR58_04940	2.82e-72	194	60.309	99	195	VEG92565.1 Uncharacterised protein 	L. spiritensis
STY25125.1	AVR58_04940	4.18e-45	192	37.500	95	203	STY25125.1 Uncharacterised protein 	L. taurinensis
CEG57822.1	AVR58_04940	1.59e-44	191	37.696	94	203	CEG57822.1 conserved protein of unknown function 	L. fallonii LLAP-10
SNV11984.1	AVR58_04940	7.40e-44	191	36.649	94	203	SNV11984.1 Uncharacterised protein 	L. waltersii
EHL31340.1	AVR58_04940	4.78e-43	192	38.021	95	200	EHL31340.1 hypothetical protein LDG_6802 	L. drancourtii LLAP12
EHL29720.1	AVR58_04940	8.62e-43	165	44.242	85	215	EHL29720.1 hypothetical protein LDG_8310 	L. drancourtii LLAP12
STX32194.1	AVR58_04940	9.58e-43	197	35.025	100	205	STX32194.1 Uncharacterised protein 	L. birminghamensis
AWN72418.1	AVR58_04940	1.29e-42	187	39.037	95	204	AWN72418.1 hypothetical protein DLD14_00305 	L. anisa
EHL32606.1	AVR58_04940	3.59e-42	191	37.696	95	200	EHL32606.1 hypothetical protein LDG_5197 	L. drancourtii LLAP12
SNU96544.1	AVR58_04940	6.75e-41	159	43.396	82	215	SNU96544.1 Uncharacterised protein 	L. waltersii
KTD68970.1	AVR58_04940	2.18e-40	185	36.757	95	202	KTD68970.1 hypothetical protein Lste_2128 	L. steelei
QBS12908.1	AVR58_04940	3.03e-40	193	35.233	95	198	QBS12908.1 hypothetical protein E4T54_09225 	L. geestiana
STX50938.1	AVR58_04940	7.82e-40	157	42.038	81	202	STX50938.1 Uncharacterised protein 	L. busanensis
STX62078.1	AVR58_04940	1.11e-39	178	38.202	91	203	STX62078.1 Uncharacterised protein 	L. moravica
CEK11645.1	AVR58_04940	1.14e-39	166	39.157	85	204	CEK11645.1 conserved protein of unknown function 	L. hackeliae
STY27535.1	AVR58_04940	2.74e-38	159	41.509	82	215	STY27535.1 Uncharacterised protein 	L. moravica
VEH13416.1	AVR58_04940	4.19e-38	166	37.349	85	204	VEH13416.1 Uncharacterised protein 	L. jordanis
VEG90992.1	AVR58_04940	9.20e-38	162	37.654	83	202	VEG90992.1 Uncharacterised protein 	L. spiritensis
MBL7478525.1	AVR58_04940	1.46e-37	159	41.509	82	215	MBL7478525.1 hypothetical protein IZU94_00890 	L. sp. 27fs60
ASQ47016.1	AVR58_04940	3.44e-37	162	37.037	83	204	ASQ47016.1 hypothetical protein clem_12405 	L. clemsonensis
SFL87547.1	AVR58_04940	6.23e-37	166	36.747	85	204	SFL87547.1 hypothetical protein SAMN02746073_2340 	L. jamestowniensis DSM 19215
EHL30521.1	AVR58_04940	6.18e-35	157	37.580	81	213	EHL30521.1 hypothetical protein LDG_7473 	L. drancourtii LLAP12
KTD53479.1	AVR58_04940	3.16e-33	143	38.462	73	194	KTD53479.1 hypothetical protein Lsan_3889 	L. santicrucis
STX81561.1	AVR58_04940	3.75e-32	163	41.104	82	215	STX81561.1 Uncharacterised protein 	L. busanensis
STX55530.1	AVR58_04940	2.67e-30	163	38.650	82	215	STX55530.1 Uncharacterised protein 	L. beliardensis
STX55458.1	AVR58_04940	2.67e-30	163	38.650	82	215	STX55458.1 Uncharacterised protein 	L. beliardensis
SUP04497.1	AVR58_04940	3.47e-26	136	33.824	70	203	SUP04497.1 Uncharacterised protein 	L. maceachernii
AOU48694.1	AVR58_05340	2.60e-164	227	100.000	100	227	AOU48694.1 hypothetical protein A9E85_05355 	L. pneumophila
MCL9685879.1	AVR58_05340	5.31e-110	226	69.027	99	226	MCL9685879.1 hypothetical protein LOX96_17410 	L. sp. HCPI-6
AOU48710.1	AVR58_05420	6.72e-39	63	100.000	100	63	AOU48710.1 hypothetical protein A9E85_05435 	L. pneumophila
AOU48711.1	AVR58_05425	1.36e-107	152	100.000	100	152	AOU48711.1 hypothetical protein A9E85_05440 	L. pneumophila
EHL30184.1	AVR58_05425	3.98e-47	151	49.007	99	151	EHL30184.1 hypothetical protein LDG_7931 	L. drancourtii LLAP12
AOU49085.1	AVR58_05425	1.59e-46	152	51.974	100	151	AOU49085.1 hypothetical protein A9E85_07395 	L. pneumophila
USQ12858.1	AVR58_05425	1.05e-45	152	49.342	100	151	USQ12858.1 hypothetical protein J2N86_09085 	L. lytica
STO33962.1	AVR58_05425	1.72e-44	152	46.711	100	152	STO33962.1 Uncharacterised protein 	L. bozemanae
AWN74256.1	AVR58_05425	3.31e-44	152	46.053	100	152	AWN74256.1 hypothetical protein DLD14_10585 	L. anisa
STX76340.1	AVR58_05425	5.18e-44	152	45.395	100	152	STX76340.1 transmembrane protein 	L. parisiensis
STY23121.1	AVR58_05425	8.10e-44	152	45.395	100	152	STY23121.1 transmembrane protein 	L. steigerwaltii
RUR22813.1	AVR58_05425	9.14e-44	152	48.026	100	152	RUR22813.1 hypothetical protein ELY20_08815 	L. qingyii
BCA95545.1	AVR58_05425	1.29e-42	151	47.682	99	152	BCA95545.1 hypothetical protein TUM19329_19060 	L. antarctica
MBL7478779.1	AVR58_05425	1.43e-42	152	46.053	100	152	MBL7478779.1 hypothetical protein IZU94_02220 	L. sp. 27fs60
STY29261.1	AVR58_05425	1.82e-42	152	44.079	100	152	STY29261.1 transmembrane protein 	L. wadsworthii
KGP63817.1	AVR58_05425	1.83e-42	150	55.333	99	149	KGP63817.1 membrane protein 	L. norrlandica
STY17832.1	AVR58_05425	3.34e-42	152	46.053	100	152	STY17832.1 transmembrane protein 	L. quateirensis
SNV05256.1	AVR58_05425	4.39e-42	146	51.370	96	148	SNV05256.1 transmembrane protein 	L. waltersii
KTD68305.1	AVR58_05425	2.13e-40	152	45.395	100	152	KTD68305.1 transmembrane protein 	L. steelei
CEG56995.1	AVR58_05425	4.60e-37	136	48.529	89	150	CEG56995.1 conserved membrane protein of unknown function 	L. fallonii LLAP-10
MCL9685003.1	AVR58_05425	5.62e-36	152	44.737	100	167	MCL9685003.1 hypothetical protein LOX96_12925 	L. sp. HCPI-6
KTD62720.1	AVR58_05425	1.41e-35	130	50.000	86	151	KTD62720.1 transmembrane protein 	L. shakespearei DSM 23087
STY29995.1	AVR58_05425	1.49e-35	136	45.588	88	152	STY29995.1 transmembrane protein 	L. worsleiensis
STX62763.1	AVR58_05425	5.35e-34	129	48.062	85	148	STX62763.1 transmembrane protein 	L. moravica
STX44448.1	AVR58_05425	1.43e-30	149	42.953	98	150	STX44448.1 transmembrane protein 	L. gratiana
KTD55848.1	AVR58_05425	6.51e-29	134	40.299	88	150	KTD55848.1 transmembrane protein 	L. santicrucis
AUH73092.1	AVR58_05425	3.00e-28	134	38.806	88	150	AUH73092.1 hypothetical protein CAB17_14325 	L. sainthelensi
CBJ11927.1	AVR58_05425	3.20e-28	149	38.926	98	150	CBJ11927.1 putative transmembrane protein 	L. longbeachae NSW150
STX35057.1	AVR58_05425	3.53e-28	134	39.552	88	150	STX35057.1 transmembrane protein 	L. cincinnatiensis
KTD36643.1	AVR58_05425	2.24e-24	148	33.784	97	148	KTD36643.1 transmembrane protein 	L. nautarum
SUP02353.1	AVR58_05425	5.73e-22	148	29.730	97	148	SUP02353.1 Uncharacterised protein 	L. maceachernii
CEK10658.1	AVR58_05425	1.72e-20	119	36.134	78	151	CEK10658.1 conserved membrane protein of unknown function 	L. hackeliae
STY26111.1	AVR58_05425	1.22e-19	144	34.722	93	151	STY26111.1 transmembrane protein 	L. taurinensis
CEG60820.1	AVR58_05425	1.52e-19	129	32.558	85	148	CEG60820.1 conserved membrane protein of unknown function 	L. micdadei
ASQ45869.1	AVR58_05425	1.54e-19	154	32.468	100	152	ASQ45869.1 hypothetical protein clem_06570 	L. clemsonensis
STX51664.1	AVR58_05425	1.84e-19	145	37.241	95	151	STX51664.1 transmembrane protein 	L. busanensis
KTC98054.1	AVR58_05425	1.08e-18	144	32.639	93	151	KTC98054.1 transmembrane protein 	L. erythra
STX31607.1	AVR58_05425	2.11e-18	144	34.028	94	145	STX31607.1 transmembrane protein 	L. birminghamensis
CEE15029.1	AVR58_05425	2.72e-18	152	32.895	100	148	CEE15029.1 hypothetical protein BN1094_03609 	L. massiliensis
SFL98319.1	AVR58_05425	2.96e-18	154	29.870	100	152	SFL98319.1 hypothetical protein SAMN02746073_2882 	L. jamestowniensis DSM 19215
KTD47988.1	AVR58_05425	2.85e-17	143	35.664	93	145	KTD47988.1 transmembrane protein 	L. quinlivanii
QDP72534.1	AVR58_05425	6.57e-17	131	30.534	86	135	QDP72534.1 hypothetical protein FOG18_08185 	L. israelensis
SNV51114.1	AVR58_05425	3.39e-16	152	32.895	100	151	SNV51114.1 transmembrane protein 	L. lansingensis
STX29102.1	AVR58_05425	7.29e-16	138	31.884	91	148	STX29102.1 transmembrane protein 	L. beliardensis
VEH12599.1	AVR58_05425	3.01e-15	145	33.103	95	152	VEH12599.1 transmembrane protein 	L. jordanis
KTC86756.1	AVR58_05425	7.35e-15	143	36.364	93	153	KTC86756.1 transmembrane protein 	L. brunensis
STX42368.1	AVR58_05425	1.18e-14	131	34.351	86	146	STX42368.1 transmembrane protein 	L. donaldsonii
VEG90185.1	AVR58_05425	2.31e-14	130	29.231	86	150	VEG90185.1 transmembrane protein 	L. spiritensis
STX38457.1	AVR58_05425	3.05e-14	130	33.846	86	146	STX38457.1 transmembrane protein 	L. feeleii
STX93442.1	AVR58_05425	5.60e-13	149	28.859	97	151	STX93442.1 transmembrane protein 	L. londiniensis
WED44351.1	AVR58_05425	7.12e-13	143	35.664	93	153	WED44351.1 hypothetical protein PXX05_06070 	L. cardiaca
KTD37987.1	AVR58_05425	1.25e-11	139	28.777	91	147	KTD37987.1 transmembrane protein 	L. oakridgensis
KTC65891.1	AVR58_05425	2.13e-11	112	33.036	73	153	KTC65891.1 transmembrane protein 	L. adelaidensis
QBS11562.1	AVR58_05425	3.85e-08	149	26.174	98	148	QBS11562.1 hypothetical protein E4T54_01750 	L. geestiana
RUR08929.1	AVR58_05425	1.27e-07	126	30.159	83	152	RUR08929.1 hypothetical protein ELY14_10120 	L. septentrionalis
AOU48713.1	AVR58_05435	0.0	322	100.000	100	322	AOU48713.1 hypothetical protein A9E85_05450 	L. pneumophila
SNV10221.1	AVR58_05435	2.91e-19	139	36.691	43	413	SNV10221.1 Dot/Icm T4SS effector 	L. waltersii
KTC78270.1	AVR58_05435	2.34e-17	124	38.710	37	133	KTC78270.1 hypothetical protein Lbru_2562 	L. brunensis
KTD61485.1	AVR58_05435	2.64e-17	106	40.566	33	334	KTD61485.1 Dot/Icm T4SS effector 	L. santicrucis
KTC99197.1	AVR58_05435	9.36e-15	113	36.283	35	412	KTC99197.1 Dot/Icm T4SS effector 	L. erythra
WED43867.1	AVR58_05435	2.05e-14	210	29.524	57	369	WED43867.1 hypothetical protein PXX05_03540 	L. cardiaca
VEG90863.1	AVR58_05435	6.46e-14	114	36.842	34	509	VEG90863.1 Dot/Icm T4SS effector 	L. spiritensis
STO33896.1	AVR58_05435	2.34e-13	120	36.667	36	446	STO33896.1 Uncharacterised protein 	L. bozemanae
MCL9683126.1	AVR58_05435	4.39e-13	198	28.283	53	630	MCL9683126.1 hypothetical protein LOX96_03380 	L. sp. HCPI-6
AUH71399.1	AVR58_05435	4.58e-13	107	39.252	31	477	AUH71399.1 hypothetical protein CAB17_04465 	L. sainthelensi
STY25380.1	AVR58_05435	4.92e-13	115	37.391	36	413	STY25380.1 Dot/Icm T4SS effector 	L. taurinensis
SNU94617.1	AVR58_05435	8.13e-13	206	28.155	55	418	SNU94617.1 Dot/Icm T4SS effector 	L. waltersii
KTD67832.1	AVR58_05435	9.74e-12	126	38.095	37	416	KTD67832.1 Dot/Icm T4SS effector 	L. steelei
KTC84983.1	AVR58_05435	2.12e-11	271	24.723	72	369	KTC84983.1 Dot/Icm T4SS effector 	L. brunensis
SNV12654.1	AVR58_05435	2.39e-11	126	35.714	37	413	SNV12654.1 Dot/Icm T4SS effector 	L. waltersii
STY33331.1	AVR58_05435	1.62e-10	136	33.824	41	923	STY33331.1 substrate of the Dot/Icm secretion system 	L. worsleiensis
EHL30864.1	AVR58_05435	3.53e-10	198	30.808	55	245	EHL30864.1 hypothetical protein LDG_7010 	L. drancourtii LLAP12
STY33332.1	AVR58_05435	3.58e-10	136	33.824	41	857	STY33332.1 substrate of the Dot/Icm secretion system 	L. worsleiensis
