#sallacc	qacc	evalue	length	pident	qcovs	qcovhsp	salltitles	    species
ASQ45678.1	AVR58_07395	6.65e-05	190	25.789	74	74	ASQ45678.1 hypothetical protein clem_05610 	L. clemsonensis
CEG57703.1	AVR58_07395	7.09e-05	116	28.448	42	42	CEG57703.1 substrate of the Dot/Icm secretion system [ankyrin repeat][coiled coil domain] 	L. fallonii LLAP-10
STY16569.1	AVR58_07395	9.17e-05	72	31.944	29	29	STY16569.1 Ankyrin repeats (3 copies) 	L. quateirensis
STY17132.1	AVR58_07395	1.15e-04	139	25.180	52	52	STY17132.1 ninein 	L. quateirensis
KTC78065.1	AVR58_07395	1.22e-04	133	29.323	51	51	KTC78065.1 coiled-coil-containing protein 	L. brunensis
STX62822.1	AVR58_07395	1.41e-04	166	24.699	65	65	STX62822.1 serine/threonine-protein kinase 	L. moravica
MBL7479273.1	AVR58_07395	1.64e-04	112	27.679	43	43	MBL7479273.1 protein kinase 	L. sp. 27fs60
AUH72985.1	AVR58_07395	1.96e-04	117	28.205	47	47	AUH72985.1 serine/threonine protein kinase 	L. sainthelensi
STY17910.1	AVR58_07395	1.98e-04	74	31.081	30	30	STY17910.1 serine/threonine-protein kinase 	L. quateirensis
EHL31678.1	AVR58_07395	2.08e-04	103	29.126	41	41	EHL31678.1 hypothetical protein LDG_6342 	L. drancourtii LLAP12
STX30865.1	AVR58_07395	2.10e-04	70	37.143	28	28	STX30865.1 Uncharacterised protein 	L. birminghamensis
STX37376.1	AVR58_07395	2.13e-04	90	27.778	36	36	STX37376.1 Uncharacterised protein 	L. feeleii
MBL7480914.1	AVR58_07395	2.32e-04	75	32.000	30	30	MBL7480914.1 ankyrin repeat domain-containing protein 	L. sp. 27fs60
WED43028.1	AVR58_07395	2.49e-04	132	28.030	53	53	WED43028.1 DUF3638 domain-containing protein 	L. cardiaca
KTD59102.1	AVR58_07395	2.52e-04	116	28.448	46	46	KTD59102.1 serine/threonine-protein kinase 	L. santicrucis
CEG57708.1	AVR58_07395	2.59e-04	118	29.661	42	42	CEG57708.1 conserved protein of unknown function 	L. fallonii LLAP-10
BCA95489.1	AVR58_07395	3.37e-04	126	30.952	45	45	BCA95489.1 hypothetical protein TUM19329_18500 	L. antarctica
CEG61250.1	AVR58_07395	3.66e-04	175	26.857	68	68	CEG61250.1 protein of unknown function [coiled-coil domain] 	L. micdadei
MBL7481279.1	AVR58_07395	3.87e-04	139	25.180	52	52	MBL7481279.1 DUF3638 domain-containing protein 	L. sp. 27fs60
SFL88484.1	AVR58_07395	4.46e-04	82	31.707	33	33	SFL88484.1 hypothetical protein SAMN02746073_2407 	L. jamestowniensis DSM 19215
BCA94541.1	AVR58_07395	5.05e-04	170	29.412	65	65	BCA94541.1 hypothetical protein TUM19329_09020 	L. antarctica
KTD38869.1	AVR58_07395	5.16e-04	153	24.837	59	59	KTD38869.1 hypothetical protein Lnau_0363 	L. nautarum
CEG56486.1	AVR58_07395	5.26e-04	97	31.959	36	36	CEG56486.1 protein of unknown function 	L. fallonii LLAP-10
STX44652.1	AVR58_07395	5.47e-04	131	25.191	48	48	STX44652.1 serine/threonine-protein kinase 	L. gratiana
EHL31748.1	AVR58_07395	5.48e-04	170	25.294	61	61	EHL31748.1 hypothetical protein LDG_6200 	L. drancourtii LLAP12
CBJ12058.1	AVR58_07395	5.62e-04	127	27.559	51	51	CBJ12058.1 putative serine/threonine-protein kinase 	L. longbeachae NSW150
SUP02053.1	AVR58_07395	6.13e-04	149	28.188	59	59	SUP02053.1 Protein of uncharacterised function (DUF3638) 	L. maceachernii
KTD59987.1	AVR58_07395	6.77e-04	166	25.904	65	65	KTD59987.1 Ankyrin repeats (3 copies) 	L. shakespearei DSM 23087
WED44394.1	AVR58_07395	7.08e-04	86	29.070	34	34	WED44394.1 hypothetical protein PXX05_06300 	L. cardiaca
WED43105.1	AVR58_07395	7.18e-04	113	34.513	45	45	WED43105.1 hypothetical protein PXX05_14580 	L. cardiaca
KTD46549.1	AVR58_07395	0.001	86	36.047	30	30	KTD46549.1 Ankyrin repeat protein 	L. quinlivanii
RUR11388.1	AVR58_07395	0.001	111	30.631	42	42	RUR11388.1 hypothetical protein ELY14_01165 	L. septentrionalis
ASQ44691.1	AVR58_07395	0.001	132	28.030	53	53	ASQ44691.1 hypothetical protein clem_00625 	L. clemsonensis
SNV09355.1	AVR58_07395	0.001	64	35.938	26	26	SNV09355.1 Uncharacterised protein 	L. waltersii
KTD37737.1	AVR58_07395	0.001	134	31.343	51	51	KTD37737.1 hypothetical protein Loak_1413 	L. oakridgensis
MCL9684313.1	AVR58_07395	0.001	95	30.526	38	38	MCL9684313.1 protein kinase 	L. sp. HCPI-6
KTC98565.1	AVR58_07395	0.001	135	25.926	53	53	KTC98565.1 effector protein B, substrate of the Dot/Icm secretion system 	L. erythra
CEG57482.1	AVR58_07395	0.001	122	24.590	46	46	CEG57482.1 protein of unknown function 	L. fallonii LLAP-10
CEG60712.1	AVR58_07395	0.001	112	27.679	45	45	CEG60712.1 protein of unknown function [coiled-coil] 	L. micdadei
KTC98978.1	AVR58_07395	0.001	130	30.000	52	52	KTC98978.1 hypothetical protein Lery_0667 	L. erythra
STY24918.1	AVR58_07395	0.001	130	26.923	52	52	STY24918.1 Uncharacterised protein 	L. taurinensis
MCL9683642.1	AVR58_07395	0.002	128	30.469	51	51	MCL9683642.1 hypothetical protein LOX96_06020 	L. sp. HCPI-6
MCL9683732.1	AVR58_07395	0.002	112	30.357	44	44	MCL9683732.1 hypothetical protein LOX96_06480 	L. sp. HCPI-6
STY18981.1	AVR58_07395	0.002	79	31.646	31	31	STY18981.1 ankyrin repeat protein 	L. quateirensis
STX62156.1	AVR58_07395	0.002	133	29.323	49	49	STX62156.1 Uncharacterised protein 	L. moravica
SFL99059.1	AVR58_07395	0.002	65	33.846	26	26	SFL99059.1 hypothetical protein SAMN02746073_2935 	L. jamestowniensis DSM 19215
CBJ10505.1	AVR58_07395	0.003	112	32.143	42	42	CBJ10505.1 putative coiled-coil protein 	L. longbeachae NSW150
MBL7479047.1	AVR58_07395	0.003	45	44.444	18	18	MBL7479047.1 hypothetical protein IZU94_03585 	L. sp. 27fs60
VEG91949.1	AVR58_07395	0.003	128	27.344	48	48	VEG91949.1 Ankyrin repeat protein 	L. spiritensis
CEG62049.1	AVR58_07395	0.003	97	29.897	36	36	CEG62049.1 protein of unknown function 	L. micdadei
STX35382.1	AVR58_07395	0.003	141	31.915	52	52	STX35382.1 Dot/Icm secretion system substrate 	L. cincinnatiensis
AOU49833.1	AVR58_07395	0.003	84	34.524	29	29	AOU49833.1 type IV secretion protein Dot 	L. pneumophila
CEG57050.1	AVR58_07395	0.004	123	27.642	48	48	CEG57050.1 protein of unknown function 	L. fallonii LLAP-10
STY17552.1	AVR58_07395	0.004	47	42.553	18	18	STY17552.1 Uncharacterised protein 	L. quateirensis
CEE14754.1	AVR58_07395	0.004	102	27.451	39	39	CEE14754.1 hypothetical protein BN1094_03331 	L. massiliensis
MCL9684486.1	AVR58_07395	0.004	154	24.675	59	59	MCL9684486.1 hypothetical protein LOX96_10305 	L. sp. HCPI-6
USQ12823.1	AVR58_07395	0.004	123	26.016	49	49	USQ12823.1 protein kinase 	L. lytica
CEG60781.1	AVR58_07395	0.004	167	27.545	61	61	CEG60781.1 protein of unknown function 	L. micdadei
MCL9683988.1	AVR58_07395	0.004	125	30.400	46	46	MCL9683988.1 hypothetical protein LOX96_07780 	L. sp. HCPI-6
MCL9683126.1	AVR58_07395	0.005	120	27.500	43	43	MCL9683126.1 hypothetical protein LOX96_03380 	L. sp. HCPI-6
STX62470.1	AVR58_07395	0.005	45	42.222	18	18	STX62470.1 Uncharacterised protein 	L. moravica
AUH71480.1	AVR58_07395	0.005	109	32.110	41	41	AUH71480.1 hypothetical protein CAB17_04910 	L. sainthelensi
STX31066.1	AVR58_07395	0.006	128	26.562	51	51	STX31066.1 ninein 	L. birminghamensis
STX32108.1	AVR58_07395	0.006	54	42.593	21	21	STX32108.1 Ankyrin repeat protein 	L. birminghamensis
RUR10781.1	AVR58_07395	0.006	145	28.966	54	54	RUR10781.1 hypothetical protein ELY14_04395 	L. septentrionalis
KTC86706.1	AVR58_07395	0.007	65	36.923	26	26	KTC86706.1 hypothetical protein Lbru_0647 	L. brunensis
KTD57636.1	AVR58_07395	0.008	106	27.358	42	42	KTD57636.1 hypothetical protein Lsha_2477 	L. shakespearei DSM 23087
STX40809.1	AVR58_07395	0.008	90	25.556	36	36	STX40809.1 Uncharacterised protein 	L. donaldsonii
KTC64923.1	AVR58_07395	0.008	71	36.620	29	29	KTC64923.1 ankyrin repeat-containing protein 	L. adelaidensis
SUP02107.1	AVR58_07395	0.009	107	25.234	43	43	SUP02107.1 Protein of uncharacterised function (DUF3638) 	L. maceachernii
STX94325.1	AVR58_07395	0.009	91	27.473	37	37	STX94325.1 Uncharacterised protein 	L. londiniensis
MCL9684482.1	AVR58_07395	0.009	106	32.075	41	41	MCL9684482.1 hypothetical protein LOX96_10285 	L. sp. HCPI-6
CEG57538.1	AVR58_07395	0.009	166	25.301	59	59	CEG57538.1 protein of unknown function [coiled-coil domain] 	L. fallonii LLAP-10
KTD38057.1	AVR58_07395	0.010	133	26.316	51	51	KTD38057.1 hypothetical protein Loak_1733 	L. oakridgensis
# BLASTP 2.14.0+
# Query: AVR58_07415
# Database: /Users/julieinnabi/Desktop/all_legionella_web/db/blast/all_legionella_web
# Fields: subject accs., query acc., evalue, alignment length, % identity, % query coverage per subject, % query coverage per hsp, subject titles
# 139 hits found
AOU49049.1	AVR58_07415	0.0	873	99.084	100	100	AOU49049.1 hypothetical protein A9E85_07205 	L. pneumophila
AOU50387.1	AVR58_07415	1.89e-119	607	38.880	68	68	AOU50387.1 hypothetical protein A9E85_14395 	L. pneumophila
AOU48933.1	AVR58_07415	6.85e-48	437	31.808	49	49	AOU48933.1 glucosyltransferase Lgt1 	L. pneumophila
STY16356.1	AVR58_07415	1.37e-45	453	32.892	51	51	STY16356.1 putative glucosyltransferase Lgt1 	L. quateirensis
SNV06915.1	AVR58_07415	1.40e-43	439	31.207	49	49	SNV06915.1 putative glucosyltransferase Lgt1 	L. waltersii
MBL7481436.1	AVR58_07415	2.65e-42	452	31.416	51	51	MBL7481436.1 hypothetical protein IZU94_15855 	L. sp. 27fs60
STY16872.1	AVR58_07415	6.72e-37	213	38.967	24	24	STY16872.1 substrate of the Dot/Icm secretion system 	L. quateirensis
MBL7480615.1	AVR58_07415	7.99e-35	137	50.365	16	16	MBL7480615.1 hypothetical protein IZU94_11655 	L. sp. 27fs60
KTC66271.1	AVR58_07415	1.91e-33	167	45.509	19	19	KTC66271.1 LegC5 	L. adelaidensis
MCL9684486.1	AVR58_07415	1.80e-23	247	38.866	26	26	MCL9684486.1 hypothetical protein LOX96_10305 	L. sp. HCPI-6
MCL9685257.1	AVR58_07415	1.87e-22	181	35.912	20	20	MCL9685257.1 hypothetical protein LOX96_14210 	L. sp. HCPI-6
BCA96733.1	AVR58_07415	2.90e-20	126	43.651	14	14	BCA96733.1 hypothetical protein TUM19329_30940 	L. antarctica
STX44731.1	AVR58_07415	2.18e-19	274	26.642	30	30	STX44731.1 putative glucosyltransferase Lgt1 	L. gratiana
KTC86422.1	AVR58_07415	2.68e-19	142	38.732	16	16	KTC86422.1 LegC5 	L. brunensis
CEG56091.1	AVR58_07415	1.10e-18	260	28.846	29	29	CEG56091.1 conserved protein of unknown function 	L. fallonii LLAP-10
AOU49052.1	AVR58_07415	2.18e-16	139	37.410	16	16	AOU49052.1 hypothetical protein A9E85_07220 	L. pneumophila
STX35193.1	AVR58_07415	2.25e-16	289	24.913	31	31	STX35193.1 putative glucosyltransferase Lgt1 	L. cincinnatiensis
RUR22872.1	AVR58_07415	3.56e-16	203	28.079	23	23	RUR22872.1 hypothetical protein ELY20_09135 	L. qingyii
STO34096.1	AVR58_07415	4.51e-16	262	27.099	28	28	STO34096.1 Uncharacterised protein 	L. bozemanae
WED41985.1	AVR58_07415	4.90e-16	218	28.899	25	25	WED41985.1 glycosyltransferase family 88 protein 	L. cardiaca
KTD53118.1	AVR58_07415	6.22e-16	272	25.368	30	30	KTD53118.1 putative glucosyltransferase Lgt1 	L. santicrucis
STX32173.1	AVR58_07415	7.37e-16	175	29.714	20	20	STX32173.1 putative glucosyltransferase Lgt1 	L. birminghamensis
STX76465.1	AVR58_07415	9.95e-16	262	26.336	28	28	STX76465.1 putative glucosyltransferase Lgt1 	L. parisiensis
MBL7480487.1	AVR58_07415	3.68e-15	205	28.293	23	23	MBL7480487.1 hypothetical protein IZU94_11005 	L. sp. 27fs60
AWN74376.1	AVR58_07415	5.90e-15	203	29.557	23	23	AWN74376.1 hypothetical protein DLD14_11240 	L. anisa
STX35382.1	AVR58_07415	9.08e-15	214	31.776	24	24	STX35382.1 Dot/Icm secretion system substrate 	L. cincinnatiensis
EHL32410.1	AVR58_07415	1.58e-14	179	36.872	19	19	EHL32410.1 hypothetical protein LDG_5366 	L. drancourtii LLAP12
KTD68150.1	AVR58_07415	1.79e-14	203	28.079	23	23	KTD68150.1 putative glucosyltransferase Lgt1 	L. steelei
RUR26369.1	AVR58_07415	2.00e-14	224	25.893	26	26	RUR26369.1 hypothetical protein ELY20_00115 	L. qingyii
STY16730.1	AVR58_07415	2.50e-14	205	27.805	23	23	STY16730.1 putative glucosyltransferase Lgt1 	L. quateirensis
USQ12699.1	AVR58_07415	4.31e-14	206	27.184	23	23	USQ12699.1 hypothetical protein J2N86_08230 	L. lytica
STY22981.1	AVR58_07415	4.62e-14	203	27.586	23	23	STY22981.1 putative glucosyltransferase Lgt1 	L. steigerwaltii
CEG56486.1	AVR58_07415	1.42e-13	228	34.211	23	23	CEG56486.1 protein of unknown function 	L. fallonii LLAP-10
CEG56486.1	AVR58_07415	0.010	91	45.055	23	11	CEG56486.1 protein of unknown function 	L. fallonii LLAP-10
STX61560.1	AVR58_07415	1.83e-13	205	27.317	23	23	STX61560.1 putative glucosyltransferase Lgt1 	L. moravica
CEG58573.1	AVR58_07415	2.06e-13	219	28.767	25	25	CEG58573.1 conserved protein of unknown function 	L. fallonii LLAP-10
KTC97777.1	AVR58_07415	2.50e-13	159	33.962	18	18	KTC97777.1 putative glucosyltransferase Lgt1 	L. erythra
SNV05099.1	AVR58_07415	2.61e-13	205	31.707	23	23	SNV05099.1 putative glucosyltransferase Lgt1 	L. waltersii
CEK10270.1	AVR58_07415	2.75e-13	136	34.559	16	16	CEK10270.1 protein of unknown function 	L. hackeliae
CBJ12098.1	AVR58_07415	2.87e-13	352	23.864	38	38	CBJ12098.1 hypothetical protein LLO_1721 	L. longbeachae NSW150
BCA94412.1	AVR58_07415	5.16e-13	155	28.387	18	18	BCA94412.1 hypothetical protein TUM19329_07730 	L. antarctica
KTD38521.1	AVR58_07415	2.45e-12	466	22.747	50	50	KTD38521.1 putative glucosyltransferase Lgt1 	L. nautarum
BCA96284.1	AVR58_07415	3.10e-12	219	27.854	23	23	BCA96284.1 hypothetical protein TUM19329_26450 	L. antarctica
EHL29039.1	AVR58_07415	4.88e-12	452	24.779	47	47	EHL29039.1 hypothetical protein LDG_9037 	L. drancourtii LLAP12
AYK03028.1	AVR58_07415	5.06e-12	187	27.273	22	22	AYK03028.1 hypothetical protein CAB17_13510 	L. sainthelensi
MCL9684852.1	AVR58_07415	1.30e-11	90	38.889	11	10	MCL9684852.1 hypothetical protein LOX96_12170 	L. sp. HCPI-6
MCL9684852.1	AVR58_07415	2.08e-09	88	37.500	11	10	MCL9684852.1 hypothetical protein LOX96_12170 	L. sp. HCPI-6
KTD36999.1	AVR58_07415	1.38e-11	147	31.973	16	16	KTD36999.1 putative glucosyltransferase Lgt1 	L. oakridgensis
STY31750.1	AVR58_07415	1.87e-11	154	29.221	18	18	STY31750.1 putative glucosyltransferase Lgt1 	L. worsleiensis
MCL9685080.1	AVR58_07415	2.40e-11	191	28.272	22	22	MCL9685080.1 hypothetical protein LOX96_13310 	L. sp. HCPI-6
KGP63104.1	AVR58_07415	5.55e-11	191	32.984	20	20	KGP63104.1 hypothetical protein EP47_07520 	L. norrlandica
STX41863.1	AVR58_07415	6.28e-11	180	27.222	20	20	STX41863.1 putative glucosyltransferase Lgt1 	L. donaldsonii
AOU49143.1	AVR58_07415	9.06e-11	139	35.252	15	15	AOU49143.1 Dot/Icm secretion system substrate 	L. pneumophila
EHL29040.1	AVR58_07415	1.09e-10	174	29.310	20	20	EHL29040.1 hypothetical protein LDG_9038 	L. drancourtii LLAP12
STY29362.1	AVR58_07415	1.48e-10	146	28.767	17	17	STY29362.1 putative glucosyltransferase Lgt1 	L. wadsworthii
CEG57482.1	AVR58_07415	1.73e-10	131	31.298	14	14	CEG57482.1 protein of unknown function 	L. fallonii LLAP-10
KGP62606.1	AVR58_07415	6.10e-10	69	49.275	8	8	KGP62606.1 hypothetical protein EP47_01260 	L. norrlandica
STY17119.1	AVR58_07415	7.27e-10	124	54.032	14	13	STY17119.1 ankyrin repeat-containing protein 	L. quateirensis
STY17119.1	AVR58_07415	1.07e-09	124	54.032	14	13	STY17119.1 ankyrin repeat-containing protein 	L. quateirensis
STY17119.1	AVR58_07415	1.35e-09	120	55.000	14	13	STY17119.1 ankyrin repeat-containing protein 	L. quateirensis
STY17119.1	AVR58_07415	1.58e-08	110	57.273	14	12	STY17119.1 ankyrin repeat-containing protein 	L. quateirensis
STY17119.1	AVR58_07415	4.84e-08	121	51.240	14	13	STY17119.1 ankyrin repeat-containing protein 	L. quateirensis
STY17119.1	AVR58_07415	4.94e-06	90	60.000	14	9	STY17119.1 ankyrin repeat-containing protein 	L. quateirensis
STY17119.1	AVR58_07415	1.04e-04	110	48.182	14	12	STY17119.1 ankyrin repeat-containing protein 	L. quateirensis
CEG57703.1	AVR58_07415	1.11e-09	137	32.847	14	14	CEG57703.1 substrate of the Dot/Icm secretion system [ankyrin repeat][coiled coil domain] 	L. fallonii LLAP-10
AOU49833.1	AVR58_07415	1.42e-09	182	32.967	19	19	AOU49833.1 type IV secretion protein Dot 	L. pneumophila
CEG57708.1	AVR58_07415	1.43e-09	124	33.871	12	12	CEG57708.1 conserved protein of unknown function 	L. fallonii LLAP-10
MCL9683988.1	AVR58_07415	1.57e-09	162	30.864	18	18	MCL9683988.1 hypothetical protein LOX96_07780 	L. sp. HCPI-6
CEG57707.1	AVR58_07415	1.81e-09	126	36.508	13	13	CEG57707.1 protein of unknown function 	L. fallonii LLAP-10
SUP01764.1	AVR58_07415	1.93e-09	77	44.156	11	9	SUP01764.1 Ankyrin repeats (3 copies) 	L. maceachernii
SUP01764.1	AVR58_07415	1.61e-07	73	43.836	11	8	SUP01764.1 Ankyrin repeats (3 copies) 	L. maceachernii
SUP01764.1	AVR58_07415	0.002	134	27.612	11	11	SUP01764.1 Ankyrin repeats (3 copies) 	L. maceachernii
CEG56056.1	AVR58_07415	2.00e-09	182	29.121	20	20	CEG56056.1 protein of unknown function 	L. fallonii LLAP-10
CEG57180.1	AVR58_07415	2.26e-09	160	31.875	18	18	CEG57180.1 protein of unknown function [ankyrin repeat] 	L. fallonii LLAP-10
MCL9685172.1	AVR58_07415	2.35e-09	135	32.593	15	15	MCL9685172.1 hypothetical protein LOX96_13780 	L. sp. HCPI-6
ASQ46573.1	AVR58_07415	2.65e-09	134	35.075	14	14	ASQ46573.1 hypothetical protein clem_10120 	L. clemsonensis
MCL9683088.1	AVR58_07415	9.56e-09	59	54.237	7	7	MCL9683088.1 hypothetical protein LOX96_03180 	L. sp. HCPI-6
CEG56404.1	AVR58_07415	1.17e-08	244	34.836	28	25	CEG56404.1 protein of unknown function 	L. fallonii LLAP-10
CEG56404.1	AVR58_07415	0.009	120	38.333	28	12	CEG56404.1 protein of unknown function 	L. fallonii LLAP-10
CEG59014.1	AVR58_07415	2.44e-08	137	32.117	15	15	CEG59014.1 conserved protein of unknown function 	L. fallonii LLAP-10
WED41937.1	AVR58_07415	4.28e-08	204	22.549	24	24	WED41937.1 glycosyltransferase family 88 protein 	L. cardiaca
MCL9685634.1	AVR58_07415	4.75e-08	202	33.168	21	21	MCL9685634.1 hypothetical protein LOX96_16155 	L. sp. HCPI-6
MBL7481205.1	AVR58_07415	7.28e-08	130	33.077	14	14	MBL7481205.1 GNAT family N-acetyltransferase 	L. sp. 27fs60
CEG56464.1	AVR58_07415	8.17e-08	117	34.188	13	13	CEG56464.1 protein of unknown function 	L. fallonii LLAP-10
CBJ11947.1	AVR58_07415	9.98e-08	198	25.253	22	22	CBJ11947.1 hypothetical protein LLO_1578 	L. longbeachae NSW150
KTC86461.1	AVR58_07415	1.28e-07	239	27.615	26	26	KTC86461.1 Dot/Icm secretion system substrate 	L. brunensis
EHL31515.1	AVR58_07415	1.62e-07	140	37.143	15	15	EHL31515.1 hypothetical protein LDG_6446 	L. drancourtii LLAP12
STX40316.1	AVR58_07415	2.51e-07	178	23.596	20	20	STX40316.1 putative glucosyltransferase Lgt1 	L. donaldsonii
BCA96483.1	AVR58_07415	3.27e-07	228	23.246	26	26	BCA96483.1 hypothetical protein TUM19329_28440 	L. antarctica
MCL9683750.1	AVR58_07415	3.87e-07	101	35.644	11	11	MCL9683750.1 hypothetical protein LOX96_06570 	L. sp. HCPI-6
STY17834.1	AVR58_07415	6.38e-07	78	42.308	8	8	STY17834.1 Chaperone protein DnaJ 1 	L. quateirensis
KTD67620.1	AVR58_07415	1.27e-06	114	33.333	13	13	KTD67620.1 coiled-coil-containing protein 	L. santicrucis
STX62840.1	AVR58_07415	1.28e-06	127	31.496	15	15	STX62840.1 putative glucosyltransferase Lgt1 	L. moravica
KTC83802.1	AVR58_07415	1.46e-06	172	29.651	18	18	KTC83802.1 Dot/Icm T4SS effector 	L. brunensis
MCL9685503.1	AVR58_07415	1.48e-06	126	29.365	14	14	MCL9685503.1 hypothetical protein LOX96_15475 	L. sp. HCPI-6
STX39813.1	AVR58_07415	1.48e-06	133	33.835	15	15	STX39813.1 Dot/Icm secretion system substrate 	L. feeleii
MCL9683732.1	AVR58_07415	1.52e-06	117	33.333	13	13	MCL9683732.1 hypothetical protein LOX96_06480 	L. sp. HCPI-6
SNV11313.1	AVR58_07415	2.40e-06	98	42.857	13	11	SNV11313.1 ankyrin repeat-containing protein 	L. waltersii
SNV11313.1	AVR58_07415	9.29e-06	98	45.918	13	11	SNV11313.1 ankyrin repeat-containing protein 	L. waltersii
SNV11313.1	AVR58_07415	6.86e-05	103	41.748	13	12	SNV11313.1 ankyrin repeat-containing protein 	L. waltersii
STY18291.1	AVR58_07415	2.54e-06	249	25.301	28	28	STY18291.1 coiled-coil-containing protein 	L. quateirensis
STY16764.1	AVR58_07415	2.76e-06	256	30.859	24	24	STY16764.1 LepB protein 	L. quateirensis
KTD44760.1	AVR58_07415	4.21e-06	170	27.647	19	19	KTD44760.1 putative glucosyltransferase Lgt1 	L. oakridgensis
MBL7480518.1	AVR58_07415	4.28e-06	224	27.679	24	24	MBL7480518.1 hypothetical protein IZU94_11160 	L. sp. 27fs60
MCL9683126.1	AVR58_07415	6.84e-06	97	36.082	10	10	MCL9683126.1 hypothetical protein LOX96_03380 	L. sp. HCPI-6
STX35711.1	AVR58_07415	7.93e-06	114	30.702	13	13	STX35711.1 Chaperone protein DnaJ 1 	L. cincinnatiensis
CEG56494.1	AVR58_07415	8.15e-06	124	33.065	13	13	CEG56494.1 protein of unknown function 	L. fallonii LLAP-10
MBL7480714.1	AVR58_07415	1.17e-05	152	27.632	16	16	MBL7480714.1 hypothetical protein IZU94_12165 	L. sp. 27fs60
BCA96547.1	AVR58_07415	1.79e-05	64	42.188	7	7	BCA96547.1 hypothetical protein TUM19329_29080 	L. antarctica
STX35641.1	AVR58_07415	1.97e-05	107	28.972	12	12	STX35641.1 LepB protein 	L. cincinnatiensis
CEG60580.1	AVR58_07415	2.01e-05	90	48.889	11	10	CEG60580.1 protein of unknown function [ankyrin repeat] 	L. micdadei
CEG60580.1	AVR58_07415	2.13e-05	82	48.780	11	9	CEG60580.1 protein of unknown function [ankyrin repeat] 	L. micdadei
CEG60580.1	AVR58_07415	0.002	94	46.809	11	11	CEG60580.1 protein of unknown function [ankyrin repeat] 	L. micdadei
USQ12803.1	AVR58_07415	2.19e-05	82	40.244	9	9	USQ12803.1 hypothetical protein J2N86_08790 	L. lytica
MCL9685582.1	AVR58_07415	3.46e-05	125	29.600	14	14	MCL9685582.1 hypothetical protein LOX96_15880 	L. sp. HCPI-6
KTC78065.1	AVR58_07415	3.58e-05	104	32.692	11	11	KTC78065.1 coiled-coil-containing protein 	L. brunensis
STX45453.1	AVR58_07415	4.51e-05	107	28.037	12	12	STX45453.1 LepB protein 	L. gratiana
CEG57620.1	AVR58_07415	4.83e-05	58	44.828	7	7	CEG57620.1 DnaJ domain containing protein (fragment) 	L. fallonii LLAP-10
KTD66031.1	AVR58_07415	4.90e-05	112	30.357	13	13	KTD66031.1 effector protein B, substrate of the Dot/Icm secretion system 	L. santicrucis
STX44873.1	AVR58_07415	5.03e-05	142	29.577	16	16	STX44873.1 Dot/Icm secretion system substrate 	L. donaldsonii
KTD57276.1	AVR58_07415	5.18e-05	86	34.884	10	10	KTD57276.1 hypothetical protein Lsha_2658 	L. shakespearei DSM 23087
MCL9682960.1	AVR58_07415	7.35e-05	136	27.206	15	15	MCL9682960.1 hypothetical protein LOX96_02530 	L. sp. HCPI-6
WED44422.1	AVR58_07415	7.39e-05	73	41.096	8	8	WED44422.1 hypothetical protein PXX05_06465 	L. cardiaca
CEG57461.1	AVR58_07415	8.74e-05	229	26.201	26	26	CEG57461.1 protein of unknown function 	L. fallonii LLAP-10
AUH73967.1	AVR58_07415	1.10e-04	80	32.500	9	9	AUH73967.1 molecular chaperone DnaJ 	L. sainthelensi
EHL30123.1	AVR58_07415	1.32e-04	64	40.625	7	7	EHL30123.1 hypothetical protein LDG_7868 	L. drancourtii LLAP12
STX45418.1	AVR58_07415	1.41e-04	116	30.172	13	13	STX45418.1 Chaperone protein DnaJ 1 	L. gratiana
CBJ11549.1	AVR58_07415	1.75e-04	112	30.357	13	13	CBJ11549.1 Hypothetical protein with a DnaJ domain 	L. longbeachae NSW150
CEG57538.1	AVR58_07415	1.81e-04	44	40.909	5	5	CEG57538.1 protein of unknown function [coiled-coil domain] 	L. fallonii LLAP-10
AUH72452.1	AVR58_07415	2.58e-04	107	28.037	12	12	AUH72452.1 hypothetical protein CAB17_10475 	L. sainthelensi
CBJ11620.1	AVR58_07415	3.13e-04	91	32.967	10	10	CBJ11620.1 hypothetical protein LLO_1261 	L. longbeachae NSW150
STY30669.1	AVR58_07415	8.09e-04	94	30.851	11	11	STY30669.1 Dot/Icm T4SS effector 	L. worsleiensis
QBS11665.1	AVR58_07415	0.001	189	25.397	22	22	QBS11665.1 hypothetical protein E4T54_02310 	L. geestiana
KTC64678.1	AVR58_07415	0.004	98	31.633	11	11	KTC64678.1 ninein 	L. adelaidensis
RUR09777.1	AVR58_07415	0.004	66	39.394	8	8	RUR09777.1 leucine-rich repeat domain-containing protein 	L. septentrionalis
MBL7481560.1	AVR58_07415	0.006	92	27.174	10	10	MBL7481560.1 hypothetical protein IZU94_16480 	L. sp. 27fs60
CEG58223.1	AVR58_07415	0.006	275	24.727	30	30	CEG58223.1 protein of unknown function 	L. fallonii LLAP-10
CEG58389.1	AVR58_07415	0.009	100	31.000	11	11	CEG58389.1 conserved protein of unknown function 	L. fallonii LLAP-10
STX43561.1	AVR58_07415	0.009	226	23.009	25	25	STX43561.1 putative teichoic acid biosynthesis protein 	L. gratiana
# BLASTP 2.14.0+
# Query: AVR58_07420
# Database: /Users/julieinnabi/Desktop/all_legionella_web/db/blast/all_legionella_web
